국가,국가(원어),광역,광역(원어),지구,지구(원어),마을/AOC,마을/AOC(원어),생산자,생산자(원어)
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 포제르,Chateau Faugeres
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 페랑 라르티그,Chateau Ferrand-Lartigue
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 피작,Chateau Figeac
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 그랑 멘,Chateau Grand-Mayne
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 그랑 퐁테,Chateau Grand-Pontet
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라로제,Chateau L'Arrosee
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 레르미타주,Chateau L'Hermitage
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라 쿠스포드,Chateau La Couspaude
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라 도미니크,Chateau La Dominique
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라 플뢰르 드 조그,Chateau La Fleur-de-Jaugue
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라 가플리에르,Chateau La Gaffeliere
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라 고므리,Chateau La Gomerie
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라 몽도트,Chateau La Mondotte
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라 투르 뒤 팽 피작,Chateau La Tour-du-Pin-Figeac
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라르시 뒤카스,Chateau Larcis-Ducasse
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 라르망드,Chateau Larmande
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 르 테르트르 로트뵈프,Chateau Le Tertre-Roteboeuf
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 마들렌,Chateau Magdelaine
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 몽부스케,Chateau Monbousquet
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 물랭 생 조르주,Chateau Moulin Saint-Georges
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 파비,Chateau Pavie
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 파비 드세스,Chateau Pavie-Decesse
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 파비 마캥,Chateau Pavie-Macquin
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 키노 랑클로,Chateau Quinault-L'Enclos
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 롤 발랑탱,Chateau Rol Valentin
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 수타르,Chateau Soutard
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 트로플롱 몽도,Chateau Troplong Mondot
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 트로트 비에유,Chateau Trotte Vieille
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 발랑드로,Chateau Valandraud
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,클로 드 로라투아르,Clos de L'Oratoire
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,클로 데 자코뱅,Clos des Jacobins
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,쿠방 데 자코뱅,Couvent des Jacobins
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 부르뇌프,Chateau Bourgneuf
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 세르탕 드 메,Chateau Certan de May
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 세르탕 지로,Chateau Certan-Giraud
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 클리네,Chateau Clinet
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 가쟁,Chateau Gazin
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 곰보드 기요,Chateau Gombaude-Guillot
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 레글리즈 클리네,Chateau L'Eglise-Clinet
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 랑클로,Chateau L'Enclos
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 레방질,Chateau L'Evangile
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 라 콩세양트,Chateau La Conseillante
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 라 크루아 드 게,Chateau La Croix de Gay
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 라 크루아 뒤 카스,Chateau La Croix du Casse
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 라 플뢰르 드 게,Chateau La Fleur de Gay
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 라 플뢰르 페트뤼스,Chateau La Fleur-Petrus
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 라 그라브 아 포므롤,Chateau La Grave a Pomerol
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 라플뢰르,Chateau Lafleur
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 라투르 아 포므롤,Chateau Latour a Pomerol
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 르 봉 파스퇴르,Chateau Le Bon Pasteur
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 르 게,Chateau Le Gay
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 르 팽,Chateau Le Pin
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 네냉,Chateau Nenin
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 프티 빌라주,Chateau Petit-Village
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,샤토 트로타누아,Chateau Trotanoy
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,클로 르네,Clos Rene
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,도멘 드 레글리즈,Domaine de L'Eglise
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,페트뤼스,Petrus
프랑스,France,보르도,Bordeaux,리부르네,Libournais,포므롤,Pomerol,비유 샤토 세르탕,Vieux Chateau Certan
프랑스,France,보르도,Bordeaux,리부르네,Libournais,라랑드 드 포므롤,Lalande-de-Pomerol,,
프랑스,France,보르도,Bordeaux,리부르네,Libournais,프롱삭,Fronsac,샤토 달렘,Chateau Dalem
프랑스,France,보르도,Bordeaux,리부르네,Libournais,프롱삭,Fronsac,샤토 퐁트닐,Chateau Fontenil
프랑스,France,보르도,Bordeaux,리부르네,Libournais,프롱삭,Fronsac,샤토 라 도핀,Chateau La Dauphine
프랑스,France,보르도,Bordeaux,리부르네,Libournais,프롱삭,Fronsac,샤토 라 비에유 퀴르,Chateau La Vieille-Cure
프랑스,France,보르도,Bordeaux,리부르네,Libournais,프롱삭,Fronsac,샤토 물랭 오 라로크,Chateau Moulin-Haut-Laroque
프랑스,France,보르도,Bordeaux,리부르네,Libournais,카농 프롱삭,Canon-Fronsac,샤토 카농 무엑스,Chateau Canon Moueix
프랑스,France,보르도,Bordeaux,리부르네,Libournais,카농 프롱삭,Canon-Fronsac,샤토 카농 드 브렘,Chateau Canon de Brem
프랑스,France,보르도,Bordeaux,리부르네,Libournais,카농 프롱삭,Canon-Fronsac,샤토 카사뉴 오 카농 라 트뤼피에르,Chateau Cassagne Haut-Canon La Truffiere
프랑스,France,보르도,Bordeaux,리부르네,Libournais,카농 프롱삭,Canon-Fronsac,샤토 물랭 페 라브리,Chateau Moulin-Pey-Labrie
프랑스,France,보르도,Bordeaux,리부르네,Libournais,카스티용,Castillon,,
프랑스,France,보르도,Bordeaux,부르 & 블라이,Bourg & Blaye,코트 드 부르,Cotes de Bourg,샤토 로크 드 캉브,Chateau Roc de Cambes
