canonical_id,type,name_ko,name_ko_primary,is_alias,name_en,name_display,tier,key_ko,key_en,key_len,region_group,ko_source,wikidata
gra00166,grape,몬테풀차노,몬테풀치아노,1,Montepulciano,Montepulciano,,모ᄂ데부ᄅ자노,montepulciano,12,,alias,
gra00166,grape,몬떼뿔치아노,몬테풀치아노,1,Montepulciano,Montepulciano,,모ᄂ데부ᄅ지ᅡ노,montepulciano,13,,alias,
gra00163,grape,몰리나라,몰리나라,0,Molinara,Molinara,,모ᄅ리나라,molinara,9,,manual,
gra00164,grape,몽되즈 누아르,몽되즈 누아르,0,Mondeuse Noire,Mondeuse Noire,,몽뒈즈누ᅡ르,mondeuse noire,12,,manual,
gra00173,grape,무르베드르,무르베드르,0,Mourvèdre,Mourvèdre,,무르베드르,mourvedre,10,,manual,
gra00173,grape,마타로,무르베드르,1,Mourvèdre,Mourvèdre,,마다로,mourvedre,6,,alias,
gra00173,grape,모나스트렐,무르베드르,1,Mourvèdre,Mourvèdre,,모나스드레ᄅ,mourvedre,11,,alias,
gra00176,grape,무스카,무스카,0,Muscat,Muscat,,무스가,muscat,6,,alias,
gra00178,grape,뮈스카,뮈스카,0,Muscat Ottonel,Muscat Ottonel,,뮈스가,muscat ottonel,6,,manual,
gra00177,grape,뮈스카 블랑 아 프티 그랭,뮈스카 블랑 아 프티 그랭,0,Muscat Blanc à Petits Grains,Muscat Blanc à Petits Grains,,뮈스가브ᄅ랑ᅡ브디그렝,muscat blanc a petits grains,22,,manual,
gra00175,grape,뮈스카델,뮈스카델,0,Muscadelle,Muscadelle,,뮈스가데ᄅ,muscadelle,9,,manual,
gra00180,grape,뮐러 투르가우,뮐러 투르가우,0,Müller-Thurgau,Müller-Thurgau,,뮈ᄅ러두르가ᅮ,mullerthurgau,12,,manual,
gra00180,grape,뮬러 투르가우,뮐러 투르가우,1,Müller-Thurgau,Müller-Thurgau,,무ᄅ러두르가ᅮ,mullerthurgau,12,,alias,
gra00174,grape,므츠바네,므츠바네,0,Mtsvane,Mtsvane,,므즈바네,mtsvane,8,,manual,
gra00162,grape,므크비비 유르제니,므크비비 유르제니,0,Mkvivi Yurdzeni,Mkvivi Yurdzeni,,므그비비ᅮ르제니,mkvivi yurdzeni,15,,wikidata,
gra00154,grape,믈롱 드 부르고뉴,믈롱 드 부르고뉴,0,Melon de Bourgogne,Melon de Bourgogne,,므ᄅ롱드부르고누,melon de bourgogne,16,,manual,
gra00154,grape,뮈스카데,믈롱 드 부르고뉴,1,Melon de Bourgogne,Melon de Bourgogne,,뮈스가데,melon de bourgogne,8,,alias,
gra00310,grape,미국포도,미국포도,0,Vitis labrusca,Vitis labrusca,,미구ᄀ보도,vitis labrusca,9,,wikidata,
gra00159,grape,미누톨로,미누톨로,0,Minutolo,Minutolo,,미누도ᄅ로,minutolo,9,,manual,
gra00161,grape,미션,미션,0,Mission,Mission,,미서ᄂ,mission,5,,wikidata,
gra00160,grape,미스케트 트라키이스키,미스케트 트라키이스키,0,Misket Trakiyski,Misket Trakiyski,,미스게드드라기ᅵ스기,misket trakiyski,19,,wikidata,
gra00158,grape,민넬라,민넬라,0,Minnella,Minnella,,미ᄂ네ᄅ라,minnella,8,,added,
gra00022,grape,바가,바가,0,Baga,Baga,,바가,baga,4,,manual,
gra00023,grape,바기스 유르제니,바기스 유르제니,0,Baghis Yurdzeni,Baghis Yurdzeni,,바기스ᅮ르제니,baghis yurdzeni,13,,wikidata,
gra00295,grape,바르디스페리 유르제니,바르디스페리 유르제니,0,Vardisperi Yurdzeni,Vardisperi Yurdzeni,,바르디스베리ᅮ르제니,vardisperi yurdzeni,19,,wikidata,
gra00024,grape,바르베라,바르베라,0,Barbera,Barbera,,바르베라,barbera,8,,manual,
gra00313,grape,바이스부르군더,바이스부르군더,0,Weissburgunder,Weissburgunder,,바ᅵ스부르구ᄂ더,weissburgunder,14,,added,
gra00313,grape,피노 블랑,바이스부르군더,1,Weissburgunder,Weissburgunder,,비노브ᄅ랑,weissburgunder,10,,alias,
gra00021,grape,바코 누아,바코 누아,0,Baco Noir,Baco Noir,,바고누ᅡ,baco noir,7,,added,
gra00020,grape,바쿠스,바쿠스,0,Bacchus,Bacchus,,바구스,bacchus,6,,added,
gra00038,grape,버베아스커 네아그러,버베아스커 네아그러,0,Băbească Neagră,Băbească Neagră,,버베ᅡ스거네ᅡ그러,babeasca neagra,16,,wikidata,
gra00025,grape,베글라리스 유르제니,베글라리스 유르제니,0,Beglaris Yurdzeni,Beglaris Yurdzeni,,베그ᄅ라리스ᅮ르제니,beglaris yurdzeni,18,,wikidata,
gra00301,grape,베르나차,베르나차,0,Vernaccia,Vernaccia,,베르나자,vernaccia,8,,manual,
gra00302,grape,베르나차 네라,베르나차 네라,0,Vernaccia Nera,Vernaccia Nera,,베르나자네라,vernaccia nera,12,,manual,
gra00303,grape,베르나차 디 오리스타노,베르나차 디 오리스타노,0,Vernaccia di Oristano,Vernaccia di Oristano,,베르나자디ᅩ리스다노,vernaccia di oristano,19,,manual,
gra00304,grape,베르나치,베르나치,0,Vernatsch,Vernatsch,,베르나지,vernatsch,8,,added,
gra00296,grape,베르데카,베르데카,0,Verdeca,Verdeca,,베르데가,verdeca,8,,manual,
gra00297,grape,베르데호,베르데호,0,Verdejo,Verdejo,,베르데호,verdejo,8,,manual,
